count	reward_sum	squared_reward_sum	length
403	-160.95143911083235	10012.49059089556	1470
404	-78.4481232987484	8.81017155713231	2000
405	-121.55903520945174	10006.101990142084	799
406	-73.18752877359768	10010.998935638243	260
407	-64.85788477913536	5.481967833845723	2000
408	-90.87297161610964	11.350231962283774	2000
409	-58.81716836008046	14.413199473051058	2000
410	-61.633012923649886	16.75981679577336	2000
411	-43.05804534951262	28.825548069736943	2000
412	-100.82537775820259	10013.758194071255	440
413	-86.81261856530053	10008.870915241612	132
414	-75.01199745583283	12.669862612005323	2000
415	-112.25065857105051	10004.29886363647	46
416	-97.2203201363833	10016.44020469817	535
417	-73.8590457324797	27.115861411621392	2000
418	-93.91065605871968	11.311497966606176	2000
419	-88.81658518200786	9.341336023889761	2000
420	-115.22738523629754	12.09020209464393	2000
421	-117.54914410273653	9.869435839695969	2000
422	-103.2742311784469	11.914470117947639	2000
423	-65.25490440012649	12.200664300157907	2000
424	-108.9053087477043	19.352471210543925	2000
425	-97.21422650340573	10007.997447491945	179
426	-53.13888049343846	32.36800536148628	2000
427	-49.15897635596485	20.50224369638643	2000
428	-100.97080342272521	10006.549184226224	207
429	-90.24738915242449	10008.479483154835	193
430	-122.522072230594	10011.098435579683	202
431	-84.82502401622645	19.095928365460693	2000
432	-93.18270072341464	32.65314370219913	2000
433	-108.2399984704221	14.30766638117268	2000
434	-153.05525605410486	10020.552345044842	1503
435	-78.8499031534876	12.814888334059281	2000
436	-93.29191459329142	10007.11330904782	118
437	-84.54807403608316	14.52137030634946	2000
438	-98.52472455841178	9.293259300811567	2000
439	-62.33880478538323	15.748864878513517	2000
440	-104.766697199647	10001.430819070167	208
441	-154.0470418814848	10012.370549056712	1435
442	-125.43503974643184	10011.0934770846	932
443	-65.6306130867034	6.2652301870640095	2000
444	-112.996683157206	16.785279674737343	2000
445	-81.65256512915622	11.842511796659739	2000
446	-117.03489937888055	10003.974736227896	128
447	-73.23015659351118	12.105335927286054	2000
448	-97.62492387566054	9.236843821538026	2000
449	-96.71270635925849	16.27703511745538	2000
450	-84.32006501418188	20.28105201923381	2000
451	-91.5137425523034	10011.195699028522	200
452	-121.69852122140087	10007.355772449891	943
453	-90.71516273356086	10009.469697964689	186
454	-128.32288023389503	10008.876496270326	982
455	-139.52344286172084	10016.131244067594	879
456	-84.91694323718173	13.520418628001604	2000
457	-154.60187947956732	10009.134429139393	1652
458	-113.7794841595294	10006.896587537261	811
459	-65.0508348712124	8.140333213519366	2000
460	-107.45542671237523	11.77413685078096	2000
461	-101.38178523696047	11.920044938685155	2000
462	-70.9217990767951	11.808509737494985	2000
463	-92.0106074415006	10.395635632078621	2000
464	-107.58559438780955	15.387232043485781	2000
465	-104.51980327424965	10001.396769397586	81
466	-105.40922353902148	10001.732380543212	77
467	-105.59764438329258	15.634375964907903	2000
468	-91.28776218643932	10005.766942849945	97
469	-87.50195405660783	10.611203287425882	2000
470	-183.2818791531604	10014.411029627508	1977
471	-98.48746713011435	11.888371323652446	2000
472	-104.55826742680718	12.76043149931183	2000
473	-105.20153752175587	10.602408482930741	2000
474	-165.51788325583934	10008.572876822618	1872
475	-58.464481663204865	12.511441937633093	2000
476	-170.28834731686527	10017.131895424194	1651
477	-65.75734434972227	5.66916981611421	2000
478	-91.86188837761762	8.476679637944692	2000
479	-67.64075263009867	5.792550006837649	2000
480	-118.18835536931464	10010.000155874393	748
481	-84.89231365416656	12.68469728145897	2000
482	-76.50973221775541	7.968378633269484	2000
483	-97.18040924045482	10009.988770766471	332
484	-107.04434746594883	10016.288813235724	474
485	-88.42800460031937	6.479750578638002	2000
486	-80.80243245737665	9.376338490848054	2000
487	-73.72532740904802	19.6132677230222	2000
488	-121.44323831509274	10015.624561828672	516
489	-98.98153818625507	12.880878074275222	2000
490	-84.99482027462302	9.58359446505253	2000
